date,indicator,name,low,high,mid,unit,currency,source_name,source_url,source_grade,notes
2025-06-30,black_tungsten_concentrate_65,65%黑钨精矿,,,17.2,万元/标吨,CNY,prior_chart_seed,artifacts/tungsten_price_trend/tungsten_price_points_2025_06_to_2026_06.csv,B,历史种子点；后续自动化以日频追加为准
2025-07-24,black_tungsten_concentrate_65,65%黑钨精矿,,,18.7,万元/标吨,CNY,prior_chart_seed,artifacts/tungsten_price_trend/tungsten_price_points_2025_06_to_2026_06.csv,B,历史种子点；后续自动化以日频追加为准
2025-08-14,black_tungsten_concentrate_65,65%黑钨精矿,,,20.1,万元/标吨,CNY,prior_chart_seed,artifacts/tungsten_price_trend/tungsten_price_points_2025_06_to_2026_06.csv,B,历史种子点；后续自动化以日频追加为准
2025-09-08,black_tungsten_concentrate_65,65%黑钨精矿,,,28.6,万元/标吨,CNY,prior_chart_seed,artifacts/tungsten_price_trend/tungsten_price_points_2025_06_to_2026_06.csv,B,历史种子点；后续自动化以日频追加为准
2025-10-28,black_tungsten_concentrate_65,65%黑钨精矿,,,28.8,万元/标吨,CNY,prior_chart_seed,artifacts/tungsten_price_trend/tungsten_price_points_2025_06_to_2026_06.csv,B,历史种子点；后续自动化以日频追加为准
2025-11-18,black_tungsten_concentrate_65,65%黑钨精矿,,,32.3,万元/标吨,CNY,prior_chart_seed,artifacts/tungsten_price_trend/tungsten_price_points_2025_06_to_2026_06.csv,B,历史种子点；后续自动化以日频追加为准
2025-12-24,black_tungsten_concentrate_65,65%黑钨精矿,,,46.2,万元/标吨,CNY,prior_chart_seed,artifacts/tungsten_price_trend/tungsten_price_points_2025_06_to_2026_06.csv,B,历史种子点；后续自动化以日频追加为准
2026-01-21,black_tungsten_concentrate_65,65%黑钨精矿,,,52.8,万元/标吨,CNY,prior_chart_seed,artifacts/tungsten_price_trend/tungsten_price_points_2025_06_to_2026_06.csv,B,历史种子点；后续自动化以日频追加为准
2026-01-29,black_tungsten_concentrate_65,65%黑钨精矿,,,58.5,万元/标吨,CNY,prior_chart_seed,artifacts/tungsten_price_trend/tungsten_price_points_2025_06_to_2026_06.csv,B,历史种子点；后续自动化以日频追加为准
2026-03-10,black_tungsten_concentrate_65,65%黑钨精矿,,,100.0,万元/标吨,CNY,prior_chart_seed,artifacts/tungsten_price_trend/tungsten_price_points_2025_06_to_2026_06.csv,B,历史种子点；后续自动化以日频追加为准
2026-03-12,black_tungsten_concentrate_65,65%黑钨精矿,,,105.0,万元/标吨,CNY,prior_chart_seed,artifacts/tungsten_price_trend/tungsten_price_points_2025_06_to_2026_06.csv,B,历史种子点；后续自动化以日频追加为准
2026-05-20,black_tungsten_concentrate_65,65%黑钨精矿,,,43.0,万元/标吨,CNY,CTIA via STCN,https://www.stcn.com/article/detail/3917568.html,B,中钨在线5月20日行情；高位回落后低点区间
